CompanyName,Ldcp,Open,High,Low,Current,Change,Volume
Amreli Steels,23.13,23.6,25.44,23.54,25.44,2.31,"3,122,253"
Beco Steel Ltd,9.14,9.44,10.14,9.22,10.14,1.0,"1,702,386"
Bolan Casting,93.21,92.3,97.95,92.3,93.99,0.7,"121,604"
Crescent SteelXD,121.92,122.5,127.0,119.05,119.5,-1.83,"1,178,777"
Dadex Eternit,64.92,66.0,66.49,63.2,66.0,1.3,"16,920"
Dost Steels Ltd.,8.34,8.37,9.34,8.37,9.34,1.0,"2,400,626"
Int. Ind.Ltd.,153.29,153.29,161.0,150.25,157.51,4.86,"617,107"
Inter.Steel Ltd,81.24,81.24,86.9,81.24,84.4,2.77,"1,922,084"
Ittefaq Iron Ind,7.56,7.69,8.13,7.4,7.89,0.38,"2,229,300"
K.S.B.Pumps,166.73,167.27,167.9,164.21,166.75,-0.74,"38,960"
Metro Steel,9.25,9.5,10.25,9.21,10.25,0.95,"172,272"
Mughal Iron,72.18,72.8,77.56,72.8,75.9,4.67,"2,375,529"
Pak Engineering,690.00,738.0,738.0,700.0,738.0,12.08,383
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Alfalah Consumer,15.75,15.7,15.7,15.7,15.7,-0.05,"3,000"
HBL Total Treasury,117.75,117.8,117.9,117.8,117.9,0.15,"1,100"
JS Global Banking,22.36,22.24,22.36,22.08,22.36,-0.25,"8,000"
JS Momentum,11.48,11.41,11.46,11.32,11.38,-0.13,"592,000"
Mahaana Islamic,15.38,15.38,15.42,15.28,15.33,-0.06,"271,000"
Meezan Pakistan,17.63,17.64,17.71,17.53,17.68,0.01,"232,000"
NBP Pakistan G ETF,24.09,23.81,23.81,23.81,23.81,-0.28,"1,000"
NIT Pakistan,27.53,27.3,27.3,27.11,27.11,-0.42,"12,000"
UBLPakistanETF,27.26,27.35,27.35,27.0,27.26,-0.09,"19,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agritech Limited,56.31,56.99,56.99,54.45,54.46,-1.81,"151,584"
Arif Habib Corp,10.71,10.89,10.89,10.61,10.72,-0.04,"250,303"
Engro Fertert,181.07,181.57,182.5,179.01,181.5,0.51,"676,578"
Fatima Fert,86.53,86.0,87.0,85.51,86.5,-0.03,"183,959"
Fauji FertXD,368.36,370.2,370.2,365.01,366.0,-2.22,"723,490"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Al-Shaheer Corp,8.01,8.23,8.38,7.98,8.21,0.27,"3,484,722"
At-Tahur Ltd.,49.83,49.5,50.0,45.5,45.9,-3.7,"18,289,768"
Barkat Frisian Agro,28.64,28.78,29.68,28.32,28.67,0.14,"2,781,737"
Big Bird Foods Ltd.,50.57,50.57,51.25,50.11,50.98,0.36,"2,099,940"
Bunnys Limited,33.89,30.52,37.28,30.52,37.28,3.39,"4,579,816"
Clover Pakistan,37.65,37.5,38.1,37.02,37.65,-0.1,"127,160"
